"site_id";"bio01_LGM";"bio01_current";"bio01_little_ice_age";"bio01_medieval_warm";"bio01_mid_Holocene";"bio01_other";"bio03_LGM";"bio03_current";"bio03_little_ice_age";"bio03_medieval_warm";"bio03_mid_Holocene";"bio03_other";"bio12_LGM";"bio12_current";"bio12_little_ice_age";"bio12_medieval_warm";"bio12_mid_Holocene";"bio12_other"
"66";"128-c";275.027272727273;278.2;277.74;277.425;277.22380952381;276.421787709497;69.7363636363636;68.7;66.62;65.55;64.3761904761905;69.0050279329609;218.363636363636;221;224;226;214.380952380952;219.112359550562
"67";"129-a";275.363636363636;278.5;278.06;277.775;277.557142857143;276.727932960894;68.4818181818182;67.5;65.64;64.925;62.7380952380952;67.4240223463687;269.909090909091;276;274.4;280.25;260.952380952381;271.23595505618
"68";"129-b";275.363636363636;278.5;278.06;277.775;277.557142857143;276.727932960894;68.4818181818182;67.5;65.64;64.925;62.7380952380952;67.4240223463687;269.909090909091;276;274.4;280.25;260.952380952381;271.23595505618
"69";"129-c";275.363636363636;278.5;278.06;277.775;277.557142857143;276.727932960894;68.4818181818182;67.5;65.64;64.925;62.7380952380952;67.4240223463687;269.909090909091;276;274.4;280.25;260.952380952381;271.23595505618
"70";"13-a";288.2;291.9;291.58;291.35;291.742857142857;290.483240223464;38.7363636363636;38.4;37.68;37.9;38.8095238095238;39.5648044692737;190.909090909091;204;191.8;196.5;164.047619047619;176.438202247191
"71";"13-b";288.2;291.9;291.58;291.35;291.742857142857;290.483240223464;38.7363636363636;38.4;37.68;37.9;38.8095238095238;39.5648044692737;190.909090909091;204;191.8;196.5;164.047619047619;176.438202247191
"72";"13-c";288.2;291.9;291.58;291.35;291.742857142857;290.483240223464;38.7363636363636;38.4;37.68;37.9;38.8095238095238;39.5648044692737;190.909090909091;204;191.8;196.5;164.047619047619;176.438202247191
"73";"130-a";273.072727272727;276.3;275.86;275.525;275.3;274.535195530726;70.4909090909091;69.4;67.18;65.975;65.7714285714286;70.1067039106145;222.727272727273;242;241.2;242;232.095238095238;232.365168539326
"74";"130-b";273.072727272727;276.3;275.86;275.525;275.3;274.535195530726;70.4909090909091;69.4;67.18;65.975;65.7714285714286;70.1067039106145;222.727272727273;242;241.2;242;232.095238095238;232.365168539326
"75";"130-c";273.072727272727;276.3;275.86;275.525;275.3;274.535195530726;70.4909090909091;69.4;67.18;65.975;65.7714285714286;70.1067039106145;222.727272727273;242;241.2;242;232.095238095238;232.365168539326
"76";"132-a";273.090909090909;276.3;275.88;275.575;275.352380952381;274.529608938547;69.0636363636364;67.9;65.8;64.85;63.7095238095238;68.2508379888268;334.909090909091;363;361.6;362.5;340.809523809524;346.831460674157
"77";"132-b";273.090909090909;276.3;275.88;275.575;275.352380952381;274.529608938547;69.0636363636364;67.9;65.8;64.85;63.7095238095238;68.2508379888268;334.909090909091;363;361.6;362.5;340.809523809524;346.831460674157
"78";"132-c";273.090909090909;276.3;275.88;275.575;275.352380952381;274.529608938547;69.0636363636364;67.9;65.8;64.85;63.7095238095238;68.2508379888268;334.909090909091;363;361.6;362.5;340.809523809524;346.831460674157
"79";"133-a";273.018181818182;276.2;275.82;275.5;275.261904761905;274.47374301676;69.9;68.7;66.62;65.45;64.7428571428571;69.2430167597765;264;286;286;286.75;274.238095238095;275.5
"80";"133-b";273.018181818182;276.2;275.82;275.5;275.261904761905;274.47374301676;69.9;68.7;66.62;65.45;64.7428571428571;69.2430167597765;264;286;286;286.75;274.238095238095;275.5
"81";"133-c";273.018181818182;276.2;275.82;275.5;275.261904761905;274.47374301676;69.9;68.7;66.62;65.45;64.7428571428571;69.2430167597765;264;286;286;286.75;274.238095238095;275.5
"82";"134-a";282.936363636364;287.7;286.98;286.95;286.314285714286;284.917318435754;38.4818181818182;35.1;35.92;35.275;32.2142857142857;34.4324022346369;570.909090909091;414;446.4;447.75;460.095238095238;475
"83";"134-b";282.936363636364;287.7;286.98;286.95;286.314285714286;284.917318435754;38.4818181818182;35.1;35.92;35.275;32.2142857142857;34.4324022346369;570.909090909091;414;446.4;447.75;460.095238095238;475
