"Site_ID";"MAP_Interglacial";"MAT_Interglacial";"Isothermality_Interglacial"
"284";"227-b";154.237747192383;185.873748779297;56
"285";"227-c";154.237747192383;185.873748779297;56
"286";"228-a";176.479919433594;186;56
"287";"228-b";176.479919433594;186;56
"288";"228-c";176.479919433594;186;56
"289";"38-a";582.877563476562;191.159957885742;78.0527572631836
"290";"38-b";582.877563476562;191.159957885742;78.0527572631836
"291";"38-c";582.877563476562;191.159957885742;78.0527572631836
"292";"41-a";557.600646972656;241.766357421875;78.1005706787109
"293";"41-b";557.600646972656;241.766357421875;78.1005706787109
"294";"41-c";557.600646972656;241.766357421875;78.1005706787109
"295";"42-a";578.582214355469;239.353088378906;77.9998245239258
"296";"42-b";578.582214355469;239.353088378906;77.9998245239258
"297";"42-c";578.582214355469;239.353088378906;77.9998245239258
"298";"44-a";368.764831542969;126.360130310059;61.8829383850098
"299";"44-b";368.764831542969;126.360130310059;61.8829383850098
"300";"44-c";368.764831542969;126.360130310059;61.8829383850098
"301";"45-a";503.904754638672;130.696105957031;65.7441253662109
"302";"45-b";503.904754638672;130.696105957031;65.7441253662109
"303";"45-c";503.904754638672;130.696105957031;65.7441253662109
"304";"46-a";341.109558105469;152.989730834961;64.4510345458984
"305";"46-b";341.109558105469;152.989730834961;64.4510345458984
"306";"46-c";341.109558105469;152.989730834961;64.4510345458984
"307";"47-a";460.038635253906;155.123413085938;52.8545417785645
"308";"47-b";460.038635253906;155.123413085938;52.8545417785645
"309";"47-c";460.038635253906;155.123413085938;52.8545417785645
"310";"49-a";63.1216201782227;138.391677856445;62.9602890014648
"311";"49-b";63.1216201782227;138.391677856445;62.9602890014648
"312";"49-c";63.1216201782227;138.391677856445;62.9602890014648
"313";"52-a";78.1005096435547;136.430389404297;60.1375465393066
"314";"52-b";78.1005096435547;136.430389404297;60.1375465393066
"315";"52-c";78.1005096435547;136.430389404297;60.1375465393066
"316";"56-a";136.763702392578;137.625305175781;58.6703720092773
"317";"56-b";136.763702392578;137.625305175781;58.6703720092773
"318";"56-c";136.763702392578;137.625305175781;58.6703720092773
"319";"58-a";171.122909545898;135.409225463867;59.9555435180664
"320";"58-b";171.122909545898;135.409225463867;59.9555435180664
"321";"58-c";171.122909545898;135.409225463867;59.9555435180664
"322";"6-a";482.384185791016;65.3403015136719;55.4704132080078
"323";"6-b";482.384185791016;65.3403015136719;55.4704132080078
"324";"6-c";482.384185791016;65.3403015136719;55.4704132080078
"325";"60-a";171.122909545898;135.409225463867;59.9555435180664
"326";"60-b";171.122909545898;135.409225463867;59.9555435180664
"327";"60-c";171.122909545898;135.409225463867;59.9555435180664
"328";"69-a";790.680969238281;190.836349487305;79.0256423950195
"329";"69-b";790.680969238281;190.836349487305;79.0256423950195
"330";"69-c";790.680969238281;190.836349487305;79.0256423950195
"331";"7-a";353.513244628906;136.88655090332;55.6319541931152
"332";"7-b";353.513244628906;136.88655090332;55.6319541931152
"333";"7-c";353.513244628906;136.88655090332;55.6319541931152
"334";"72-a";790.680969238281;190.836349487305;79.0256423950195
"335";"72-b";790.680969238281;190.836349487305;79.0256423950195
"336";"72-c";790.680969238281;190.836349487305;79.0256423950195
"337";"83-a";332.214263916016;72.1390762329102;28.0912895202637
"338";"83-b";332.214263916016;72.1390762329102;28.0912895202637
"339";"83-c";332.214263916016;72.1390762329102;28.0912895202637
"340";"85-a";333.195526123047;103.577644348145;27.0144348144531
"341";"85-b";333.195526123047;103.577644348145;27.0144348144531
"342";"85-c";333.195526123047;103.577644348145;27.0144348144531
"343";"99-a";341.751007080078;228.350875854492;69.2030563354492
"344";"99-b";341.751007080078;228.350875854492;69.2030563354492
"345";"99-c";341.751007080078;228.350875854492;69.2030563354492
